,country,year,Generation X,Silent,G.I. Generation,Boomers,Millenials,Generation Z
0,Albania,1991,0.0,0.0,0.0,0.0,0.0,0.0
0,Albania,1992,0.3404255319148936,0.1276595744680851,0.0,0.5319148936170213,0.0,0.0
0,Albania,1993,0.3835616438356164,0.1232876712328767,0.0136986301369863,0.4520547945205479,0.0273972602739726,0.0
0,Albania,1994,0.24,0.24,0.08,0.42,0.02,0.0
0,Albania,1995,0.5,0.125,0.03409090909090909,0.25,0.09090909090909091,0.0
0,Albania,1996,0.6404494382022472,0.0449438202247191,0.0449438202247191,0.23595505617977527,0.033707865168539325,0.0
0,Albania,1997,0.6235294117647059,0.07058823529411765,0.029411764705882353,0.21764705882352942,0.058823529411764705,0.0
0,Albania,1998,0.6168831168831169,0.09740259740259741,0.01948051948051948,0.24675324675324675,0.01948051948051948,0.0
0,Albania,1999,0.539568345323741,0.14388489208633093,0.050359712230215826,0.2589928057553957,0.007194244604316547,0.0
0,Albania,2000,0.5740740740740741,0.18518518518518517,0.05555555555555555,0.16666666666666666,0.018518518518518517,0.0
0,Albania,2001,0.2184873949579832,0.16806722689075632,0.0,0.3865546218487395,0.226890756302521,0.0
0,Albania,2002,0.22556390977443608,0.16541353383458646,0.0,0.37593984962406013,0.23308270676691728,0.0
0,Albania,2003,0.14516129032258066,0.25806451612903225,0.0,0.33064516129032256,0.2661290322580645,0.0
0,Albania,2004,0.18493150684931506,0.136986301369863,0.0,0.3835616438356164,0.2945205479452055,0.0
0,Albania,2005,0.0,0.0,0.0,0.0,0.0,0.0
0,Albania,2006,0.0,0.0,0.0,0.0,0.0,0.0
0,Albania,2007,0.13709677419354838,0.27419354838709675,0.0,0.3467741935483871,0.20967741935483872,0.03225806451612903
0,Albania,2008,0.1875,0.21875,0.0,0.35,0.19375,0.05
0,Albania,2009,0.0,0.0,0.0,0.0,0.0,0.0
0,Albania,2010,0.4895833333333333,0.3229166666666667,0.0,0.0,0.16666666666666666,0.020833333333333332
0,Antigua and Barbuda,1991,0.0,0.0,0.0,0.0,0.0,0.0
0,Antigua and Barbuda,1992,0.0,0.0,0.0,0.0,0.0,0.0
0,Antigua and Barbuda,1993,0.0,0.0,0.0,1.0,0.0,0.0
0,Antigua and Barbuda,1994,0.0,0.0,0.0,0.0,0.0,0.0
0,Antigua and Barbuda,1995,0.0,0.0,0.0,0.0,0.0,0.0
0,Antigua and Barbuda,1996,0.0,0.0,0.0,0.0,0.0,0.0
0,Antigua and Barbuda,1997,0.0,0.0,0.0,0.0,0.0,0.0
0,Antigua and Barbuda,1998,0.0,0.0,0.0,0.0,0.0,0.0
0,Antigua and Barbuda,1999,0.0,0.0,0.0,0.0,0.0,0.0
0,Antigua and Barbuda,2000,0.0,0.5,0.0,0.5,0.0,0.0
0,Antigua and Barbuda,2001,0.0,0.0,0.0,1.0,0.0,0.0
0,Antigua and Barbuda,2002,0.0,0.0,0.0,0.0,0.0,0.0
0,Antigua and Barbuda,2003,0.0,1.0,0.0,0.0,0.0,0.0
0,Antigua and Barbuda,2004,0.0,0.5,0.0,0.5,0.0,0.0
0,Antigua and Barbuda,2005,0.0,0.0,0.0,0.0,0.0,0.0
0,Antigua and Barbuda,2006,0.0,0.0,0.0,0.0,0.0,0.0
0,Antigua and Barbuda,2007,0.0,0.0,0.0,1.0,0.0,0.0
0,Antigua and Barbuda,2008,0.0,0.0,0.0,0.0,0.0,0.0
0,Antigua and Barbuda,2009,0.0,0.0,0.0,0.0,0.0,0.0
0,Antigua and Barbuda,2010,0.0,0.0,0.0,0.0,0.0,0.0
0,Argentina,1991,0.1230138390568939,0.3167606355715018,0.11993849308047155,0.4213223987698616,0.018964633521271142,0.0
0,Argentina,1992,0.15018315018315018,0.29624542124542125,0.10989010989010989,0.42765567765567764,0.016025641025641024,0.0
0,Argentina,1993,0.13811659192825113,0.2896860986547085,0.12869955156950671,0.42511210762331836,0.018385650224215247,0.0
0,Argentina,1994,0.15528781793842034,0.28737170905845605,0.10084783578759482,0.4395359214636323,0.016956715751896476,0.0
0,Argentina,1995,0.2985480943738657,0.294464609800363,0.10843920145190562,0.2831215970961887,0.015426497277676952,0.0
0,Argentina,1996,0.297442799461642,0.26693584567070433,0.11126065500224316,0.31404217137729923,0.01031852848811126,0.0
0,Argentina,1997,0.30128205128205127,0.2692307692307692,0.1108058608058608,0.30494505494505497,0.013736263736263736,0.0
0,Argentina,1998,0.3170004260758415,0.2803579037068598,0.10822326374094589,0.27907967618236046,0.01533873029399233,0.0
0,Argentina,1999,0.3182005777961205,0.2794056954189022,0.10235245563351217,0.2831200990507635,0.01692117210070161,0.0
0,Argentina,2000,0.3507570295602019,0.2649603460706561,0.09913482335976928,0.27108868060562363,0.014059120403749098,0.0
0,Argentina,2001,0.14591315453384418,0.35217113665389527,0.0,0.266602809706258,0.23531289910600256,0.0
0,Argentina,2002,0.1590765338393422,0.34345351043643263,0.0,0.2571157495256167,0.24035420619860848,0.0
0,Argentina,2003,0.15962298570994224,0.32350258437214957,0.0,0.2496199452721192,0.267254484645789,0.0
0,Argentina,2004,0.1743031079782121,0.2925344440884332,0.0,0.2512015379685998,0.28196090996475487,0.0
0,Argentina,2005,0.1814911706998038,0.3054283845650752,0.0,0.23217789404839764,0.2809025506867234,0.0
0,Argentina,2006,0.1891891891891892,0.2828185328185328,0.0,0.2397039897039897,0.2882882882882883,0.0
0,Argentina,2007,0.2090970807875085,0.2722335369993211,0.0,0.24643584521384929,0.2454175152749491,0.02681602172437203
0,Argentina,2008,0.20431513566525009,0.2664269369074861,0.0,0.2468126838836221,0.2631578947368421,0.01928734880679961
0,Argentina,2009,0.2111650485436893,0.2593619972260749,0.0,0.23994452149791956,0.26803051317614424,0.021497919556171984
